ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
This is a hat	هـذه قُـبـعـة.	এইটা একটা টুপি	这是一个帽子。	C'est un chapeau.	Sa a se yon chapo	Ini adalah topi	Isto é um chapéu	Это шляпа	Este es un sombrero.	Hii ni kofia	இது ஒரு தொப்பி	นี่คือหมวก	یہ ایک ٹوپی ہے۔
I am happy	أنا سـعـيـد.	আমি খুশি	我很快乐。	Je suis heureux	Mwen kontan	saya gembira	Eu estou feliz	Я счастлив	Estoy contento.	Nina furaha	நான் மகிழ்ச்சியாக இருக்கிறேன்	ผมมีความสุข	میں خوش ہوں۔
Can we go now?	هل يُمكننا الـذهـاب الآن؟	এখন কি আমরা যেতে পারি?	我们现在可以走吗？	On peut y aller maintenant ?	Nou kapab ale kounye a?	Bolehkah kita pergi sekarang?	Podemos ir agora?	Теперь мы можем идти?	¿Podemos irnos ya?	Tunaweza kuondoka sasa?	நாம் இப்பொழுது போகலாமா?	พวกเราไปได้หรือยัง?	کیا اب ہم جا سکتے ہیں؟
No we can’t.	لا يُمكننا ذلك. 	না আমরা পারিনা	不，我们不可以。	Non, on ne peut pas.	Non nou pa kapab.	Tidak, kita tidak boleh.	Não, não podemos.	Нет, не можем.	No, no podemos.	Hapana hatuwezi	இல்லை நம்மால் முடியாது.	เราไม่สามารถ	نہیں ہم نہیں کر سکتے۔
I am so tired.	إنني مُرهق للغاية.	আমি অনেক ক্লান্ত	我很疲惫。	Je suis si fatigué.	Mwen fatige anpil.	Saya sangat letih.	Eu estou tão cansado.	Я так устал.	Estoy muy cansado.	Nina njaa sana	நான் மிகவும் களைப்பாக இருக்கிறேன்.	ผมเหนื่อยมาก	میں بہت تھکا ہوا / تھکی ہوئی ہوں۔
When will he be here?	مـتـى سـيـكـون  هو  هـنـا؟	সে এখানে কখন থাকবে?	他什么时候会在那里？	Quand sera-t-il là ?	Kilè l'ap la?	Bilakah dia akan berada di sini?	Quando ele estará aqui?	Когда он будет здесь?	¿Cuándo va a estar él aquí?	Atakua hapa lini?	அவர் எப்பொழுது இங்கே இருப்பார்?	เขาจะอยู่ที่นี่เมื่อไหร่?	وہ یہاں کب ہو (آئے )گا / گی؟
He will come soon.	إنـهُ سـيـأتـي قـريـبـًا.	সে দ্রুত চলে আসবে	他很快就会到。	Il va bientôt arriver.	L'ap vini byento	Dia akan datang tidak lama lagi.	Ele virá em breve.	Он скоро приедет.	Él vendrá pronto.	Atakuja hivi karibuni.	அவர் விரைவில் வருவார்.	เขาจะมาเร็ว ๆ นี้	وہ جلد آئے گا۔
Give it to me.	أعـطـيـهِ لـي.	এটা আমার কাছে দাও	把它给我。	Donne-moi ça.	Ban mwen l'.	Berikan kepada saya.	Me dê isto.	Дай это мне.	Denme eso a mí.	Nipatie	அதை என்னிடம் கொடுங்கள்.	ส่งมาให้ฉัน	یہ مجھے دے دیں۔ 
We can go now.	يـُمـكـنـنـا الـذهـاب الآن.	আমরা এখন যেতে পারি	我们现在可以去。	On peut y aller maintenant.	Nou kapab ale kounye a?	Kita boleh pergi sekarang.	Podemos ir agora.	Теперь мы можем идти.	Ya podemos ir.	Tunaweza kwenda sasa	நாம் இப்போது போகலாம்.	เราไปได้แล้ว	اب ہم جا سکتے ہیں۔
She will go with us.	إنـهـا سـوف تـأتـي مـعـنـا.	সে আমাদের সাথে আসবে	她会和我们一起去。	Elle va venir avec nous.	Li prale avèk nou.	Dia akan pergi bersama kami.	Ela irá conosco.	Она поедет с нами.	Ella irá con nosotros.	Ataenda na sisi	அவள் நம்முடன் செல்வாள்.	เธอจะไปกับเรา	وہ ہمارے ساتھ چلی جائے گی۔
Open the door.	إفـتـح الـبـاب.	দরজাটি খোলো	把门打开。	Ouvre la porte.	Ouvwi/ouvri pòt la.	Buka pintu.	Abra a porta.	Открой дверь.	Abran la puerta.	Fungua mlango	கதவை திறங்கள்.	เปิดประตู	دروازہ کھولیں۔
I can even play a song.	يمكنني حتى تشغيل أغنية.	আমি এমনকি একটা গান বাজাতে পারি	我甚至可以弹一首歌。	Je peux même jouer une chanson.	Mwen ka menm jwen yon mizik.	Saya juga boleh memainkan lagu.	Posso até tocar uma música.	Я даже могу сыграть песню.	Hasta puedo tocar una canción.	Ninaweza kucheza wimbo	என்னால் ஒரு பாடலை கூட வாசிக்க முடியும்.	ฉันยังสามารถเล่นเพลงได้	میں ایک گانا بھی چلا سکتا / سکتی ہوں۔
We began an hour ago.	لـقـد بـدئـنـا مـنـذُ سـاعـة.	আমরা এক ঘন্টা আগে শুরু করেছিলাম	我们一个小时前开始的。	Nous avons commencé il y a une heure.	Sa gen inè depi n' kòmanse.	Kami bermula sejam yang lalu.	Começamos há uma hora.	Мы начали час назад.	Comenzamos hace una hora.	Tulianza lisaa limoja lililopita	நாங்கள் ஒரு மணி நேரத்திற்கு முன்பு ஆரம்பித்தோம்.	เราเริ่มเมื่อหนึ่งชั่วโมงก่อน	ہم نے ایک گھنٹہ پہلے شروع کر دیا تھا۔
It was taken from me.	لـقـد أُخـذتْ مـنـي.	এটা আমার থেকে নেওয়া হয়েছিল	它从我这里被拿走了。	On me l'a prise.	Se pou mwen you te prann l'.	Ia diambil dari saya.	Foi tirado de mim.	Его забрали у меня.	Me lo quitaron.	Ilichukuliwa kutoka kwangu	இது என்னிடமிருந்து எடுக்கப்பட்டது.	มันถูกพรากไปจากฉัน	یہ مجھ سے لیا گیا تھا۔
Can we play a game?	هل يُـمـكـنـنـا لِـعـب لُـعـبـة؟	আমরা কি একটা খেলা খেলতে পারি?	我们可以做一个游戏吗？	On peut jouer à un jeu ?	Èske Nou kapab jwe yon jwèt?	Bolehkah kita bermain permainan?	Podemos jogar um jogo?	Можем ли мы сыграть в игру?	Podemos participar de un juego?	Tunaweza kucheza mchezo	நாம் ஒரு விளையாட்டு விளையாடலாமா?	เราเล่นเกมได้ไหม?	کیا ہم ایک کھیل کھیل سکتے ہیں؟
He gave it to me.	لـقـد أعـطـاهـا لـي.	সে আমাকে এটা দিয়েছে	他把它给了我。	Il me l'a donné.	Li te ban mwen l'.	Dia memberikannya kepada saya.	Ele deu-me.	Он дал это мне.	Él me lo dio.	Alinipatia	அவர் எனக்கு இதை கொடுத்தார்.	เขามอบให้ฉัน	اس نے مجھے دے دیا۔
I made it myself. 	لـقـد فـعـلـتـهـا بـنـفـسـي.	আমি এইটাটা  নিজেই তৈরী করেছি	我自己做的。	Je l'ai fait moi-même. 	Mwen te fè l' pou kont mwen.	Saya membuatnya sendiri.	Eu fiz isso sozinho.	Я сам это сделал.	Yo mismo lo hice.	Niliitengeneza mwenyewe	நான் அதை தாமாக செய்தேன்.	ฉันทำมันเอง	میں نے اسے خود بنایا ہے۔
I can make another one.	يـُمـكـنـنـي صـنـاعـة غـيـرهـا0	আমি আরেকটা তৈরি করতে পারি	我可以再做一个。	Je peux en faire un autre.	Mwen ka fè yon lòt.	Saya boleh buat yang lain.	Eu posso fazer outro.	Я могу сделать еще одну.	Yo puedo hacer otro más.	Ninaweza kutengeneza nyingine	என்னால் இன்னொன்றை உருவாக்க முடியும்	ฉันสามารถสร้างใหม่ได้	میں ایک اور بنا سکتا ہوں۔
He makes a lot of them.	إنهُ يـصـنـع الـكـثـيـر مـنـهـا.	তিনি অনেক তৈরি করতে পারে	他做了很多它们。	Il en fait beaucoup.	Li fè anpil nan yo.	Dia membuat banyak dari mereka.	Ele faz muitos deles.	Он делает их много.	Él hace muchos.	Anatengeneza nyingi sana	அதிக அளவில் அவர் அவற்றை உருவாக்குகிறார்.	เขาทำมันแยะ	وہ ان میں سے بہت کچھ بناتا ہے۔
What is your name?	مـا هـو اسـمـك؟	তোমার নাম কি?	你的名字是什么？	Quel est ton nom ?	Kijan w' rele?/Kòman w' rele?	Siapa nama awak?	Qual o seu nome?	Как тебя зовут?	¿Cómo se llama usted?	Jina lako ni nani?	உங்கள் பெயர் என்ன?	คุณชื่ออะไร?	آپ کا نام کیا ہے؟
Are these the same?	هـل هـذهِ الأشـيـاء نـفـسـهـا؟	এইগুলো কি একই?	这些是一样的吗？	Ce sont les mêmes ?	Se menm sa yo ye?/ Sa a yo sanble?	Adakah ini sama?	São iguais?	Эти такие же?	¿Son estos iguales?	Je hivi vinafanana?	இவை எல்லாம் ஒன்றே தானா?	สิ่งเหล่านี้เหมือนกันหรือไม่	کیا یہ ایک جیسے ہیں؟
Take one of them.	خُـذ واحدة مـنـهـم.	যেকোনো একটা নাও	拿上它们其中一个。	Prends-en un.	Prann youn nan yo.	Ambil salah satu daripadanya.	Pegue um deles.	Возьми одну из них.	Agarra uno de ellos.	Chukua kimojawapo?	அவற்றிலிருந்து ஒன்றை எடுங்கள்.	รับหนึ่ง	ان میں سے ایک لے لیں۔
What state are you in?	ما هي الولاية التي أنت فيها؟	তুমি কোন রাষ্ট্রে থাকো?	你在哪个州？	Dans quel état es-tu ?	Nan ki eta w' ye?	Dalam keadaan apa anda berada?	Em qual estado você está?	В каком ты состоянии?	¿En qué estado estás?	Uko kwenye hali gani? / Uko jimbo gani?	நீங்கள் எந்த மாகாணத்தில் உள்ளீர்கள்?	คุณอยู่ในสถานะใด	آپ کس ریاست میں ہیں؟
Have you seen the United States?	هل رأيت الولايات المتحدة من قبل؟	তুমি কি কখনো সংযুক্ত রাষ্ট্র দেখেছো?	你见过美利坚共和国吗？	Vous avez vu les États-Unis ?	Èske w' te wè Etazini?	Adakah anda pernah melihat Amerika Syarikat?	Você já viu os Estados Unidos?	Ты видел Соединенные Штаты?	¿Has visto los Estados Unidos?	Umeiona Marekani?	நீங்கள் அமெரிக்காவைப் பார்த்திருக்கிறீர்களா?	คุณเคยเห็นประเทศสหรัฐอเมริกาหรือไม่	کیا آپ نے ریاست ہائے متحدہ دیکھا ہے؟
I see ten men. 	أنا أرى عشرةُ رجال.	আমি দশ জন মানুষ দেখলাম	我看见个男人。	Je vois dix hommes. 	Mwen wè dis (10) gason.	Saya melihat sepuluh lelaki.	Eu vejo dez homens.	Я вижу десять человек.	Yo veo diez hombres.	Naona wanaume kumi	நான் பத்து ஆண்களை பார்க்கிறேன்.	ฉันเห็นผู้ชายสิบคน	میں دس آدمی دیکھتا ہوں۔
Have you seen my pen?	هـل رأيـت قـلـمـي.	তুমি কি আমার কলম টা দেখেছো?	你看见我的笔了吗？	Vous avez vu mon stylo ?	Èske te wè plim mwen an?	Adakah anda melihat pen saya?	Você viu minha caneta?	Ты видел мою ручку?	¿Han visto mi lapicero?	Umeona kalamu yangu?	நீங்கள் என் பேனாவை பார்த்தீர்களா?	คุณเคยเห็นปากกาของฉัน?	کیا آپ نے میرا قلم دیکھا ہے؟
How deep can you go?	إلى أي عمق يمكنك أن تذهب؟	তুমি কতটুকু গভীরে যেতে পারো?	你可以去多深？	Jusqu'où pouvez-vous aller ?	Nan ki pwofondè w' ka rive?	Sejauh mana anda boleh pergi?	Quão profundo você pode ir?	Как глубоко ты можешь зайти?	¿Cuán profundo puedes llegar?	Ni kina gani unaweza kwenda?	உங்களால் எவ்வளவு ஆழம் செல்ல முடியும்?	คุณไปได้ลึกแค่ไหน?	آپ کتنی گہرائی میں جا سکتے /  سکتی ہیں؟
